"code","libelle_x","pct_pop_0_24","pct_pop_25_64","pct_pop_65_plus","pct_union_libre","pct_ouvriers","pct_sans_emploi","pct_fam_3_enfants_plus","taux_de_natalite_annuel_moyen_2015_2021","taux_de_mortalite_annuel_moyen_2015_2021"
77181,"Ferrières-en-Brie",33.5589690184848,56.0531111689664,10.0234313980734,13.1,4.50403540744598,10.110400929692,9.6,18.5,3.2
77182,"La Ferté-Gaucher",31.8672199170124,48.1742738589212,20.1452282157676,12.6,11.9502074688797,19.4660445826853,15.2,12.8,16.4
77183,"La Ferté-sous-Jouarre",30.7700226477249,51.6779905291332,17.4490426189006,12.5,10.284126003706,15.9071045074291,11.4,14.4,11.4
77186,"Fontainebleau",27.3690812166823,49.1502038256507,23.2988397616808,8.2,4.03261210410787,21.2441603147283,10.4,9.4,9.2
77192,"Fontenay-Trésigny",33.003300330033,52.0409935730415,14.538822303283,13,12.0896300156331,12.7859477124183,10.4,13.3,9
77215,"Gretz-Armainvilliers",33.3333333333333,49.5792426367461,16.3394109396914,12.1,11.9682094436653,17.3385959966169,11.2,13.1,6
77222,"Guignes",36.2483008608971,52.5826914363389,10.9877661984594,16.2,11.0104213864975,11.4001530221882,12.5,16,4.9
77238,"Jouarre",30.7620817843866,48.5594795539033,20.4460966542751,12.8,9.78159851301115,20.4745166959578,13,10.7,21.2
77243,"Lagny-sur-Marne",29.6021896087962,52.7440894719456,17.7669765466472,11.3,7.99395969987259,13.810888252149,7.8,13.8,6.2
77249,"Lésigny",31.315122500704,51.4643762320473,17.6992396508026,9.2,4.26640382990707,14.8834835856438,7.9,7.9,5.7
77251,"Lieusaint",37.3768829663963,52.4623406720742,7.20596755504056,11.5,9.28447276940904,15.4695687222894,14,17.6,3.5
77257,"Lizy-sur-Ourcq",35.2372833191247,47.2861608411481,17.7323103154305,13.9,13.8959931798806,17.6308539944904,15,16,11.7
77258,"Lognes",34.5870307167235,55.617747440273,11.9249146757679,10.6,7.55631399317406,17.8282255013243,12.5,15.7,3.3
77268,"Magny-le-Hongre",38.4046778464254,55.9466019417476,5.9576345984113,13.4,5.71491615180936,12.0790458372311,13.2,11.2,1.6
77276,"Mareuil-lès-Meaux",34.5641646489104,51.271186440678,13.2566585956416,10.6,10.0484261501211,18.441466854725,11.2,14.1,8
77284,"Meaux",35.3567318757192,50.0970943613349,14.2405063291139,11.9,10.5563147295742,18.6234903000463,17.1,18,6.7
77285,"Le Mée-sur-Seine",37.1109021626169,47.6765477309843,15.3610135101697,10.7,10.1499480378087,19.2377283604739,20.7,17,6.9
77288,"Melun",38.0862463709963,52.0806287912762,11.2705643543324,12.9,10.7560129345953,21.8502133452004,17,20.3,7.1
77294,"Mitry-Mory",36.4328307558055,50.7538662917535,12.5854462597566,9.8,10.8110728656615,15.7806939501779,16.4,14.4,6.1
77296,"Moissy-Cramayel",40.0372643577378,52.6633055677335,8.59272249013591,11.2,10.5765015344147,16.5937573894538,18.4,16.6,3.1
77305,"Montereau-Fault-Yonne",39.8894829057909,44.4629138775327,14.7041646075745,11.3,12.2152837054675,27.993182786536,23.6,16.6,8.1
77307,"Montévrain",38.6464762451557,69.642600832496,7.62164489737333,18,7.14798335007894,9.64941348001856,9.1,20.2,2.3
77315,"Montry",31.7978415372466,53.4877599368255,15.03027112398,11.4,5.08028428533825,12.5,6.7,9.9,6.1
77316,"Moret-Loing-et-Orvanne",30.0135124393927,60.2654796915984,28.0343374930451,10.7,6.15213417057468,14.544814227857,5.8,8.6,10.1
77317,"Mormant",33.7227116047491,51.7617770968977,14.8027575641517,12.5,10.3983148219073,14.0681003584229,14.9,12.7,7.7
77320,"Mouroux",34.9527665317139,51.4844804318489,13.3603238866397,13.4,9.90215924426451,12.2950819672131,11.8,11.9,5.5
77326,"Nandy",38.2904353352399,49.0467111534795,12.2656498252304,9.4,7.61042262472196,16.1906494451519,17.7,14.3,3
77327,"Nangis",36.8397392672511,46.4711171049674,16.5093279388627,11.1,10.5978871656552,19.7490894374747,19.2,14.2,8.6
77330,"Nanteuil-lès-Meaux",34.1911764705882,51.6323529411765,14.0882352941176,12.5,7.25,14.2220699108979,12.6,13.3,6.1
77333,"Nemours",33.2777314428691,48.5404503753128,18.0680870422322,10.4,12.8137083933581,20.2298211472523,13.6,12.8,9.7
77335,"Chauconin-Neufmontiers",35.3214774281806,58.8508891928865,6.32010943912449,16.8,6.26538987688098,34.5148169668797,10.2,10.8,3
77337,"Noisiel",33.2578746523511,49.8415367699373,16.1826531272233,8.9,8.44706034538516,19.5127646326276,16.2,15.1,6.2
77349,"Othis",33.7883959044369,51.8177771182668,14.5273779492506,11.2,9.1853390710788,11.0417750043335,9.9,11,4.2
77350,"Ozoir-la-Ferrière",31.5677556543592,52.3149043108448,16.8712545911463,11.1,9.1339648173207,15.1293426283344,10.1,10.2,5.1
77372,"Pomponne",30.976430976431,50.8417508417508,16.979316979317,14.1,7.86435786435786,13.9329805996473,9.6,15.3,5.2
77373,"Pontault-Combault",33.7210518061582,52.08322442365,14.9197553452873,11.5,8.87657483402164,15.9106832790081,11.8,13.6,5.4
77378,"Pringy",34.8791455874087,49.8594716132659,16.0483417650365,14.8,7.50421585160202,13.2669983416252,9.9,13.2,7
77379,"Provins",32.1876567987958,46.7636728549925,21.6507777220271,12.2,9.83442047165078,20.4003813155386,13.7,13.7,13.5
77382,"Quincy-Voisins",32.9162833486661,51.5363385464581,14.8482060717571,12.7,7.35970561177553,8.86710239651416,8.3,11.7,4.6
77389,"La Rochette",34.0826873385013,51.7829457364341,14.5994832041344,11.1,6.09819121447028,14.9864580198616,9.7,15,7.2
